id_p,fecha_hora,fecha,latitude,longitude,cnt
281020,2018-06-02 17:14:32,2018-06-02,-16.40404421,-71.52737286,3
281033,2018-06-02 17:27:10,2018-06-02,-16.40599683,-71.52578594,1
281104,2018-06-02 21:49:50,2018-06-02,-16.38537161,-71.51656456,7
281077,2018-06-02 20:59:36,2018-06-02,-16.38525697,-71.51666681,22
281005,2018-06-02 16:33:24,2018-06-02,-16.38529221,-71.51666717,29
281022,2018-06-02 17:15:40,2018-06-02,-16.40391690,-71.52712655,2
281051,2018-06-02 17:57:52,2018-06-02,-16.40623720,-71.52615769,9
281029,2018-06-02 17:24:47,2018-06-02,-16.40477590,-71.52685750,0
281133,2018-06-02 23:28:43,2018-06-02,-16.38526269,-71.51669886,19
281047,2018-06-02 17:57:04,2018-06-02,-16.40626169,-71.52614200,9
281098,2018-06-02 21:48:30,2018-06-02,-16.38543725,-71.51668849,7
281097,2018-06-02 21:48:01,2018-06-02,-16.38543526,-71.51668670,8
281089,2018-06-02 21:45:51,2018-06-02,-16.38537181,-71.51661114,9
281134,2018-06-02 23:30:41,2018-06-02,-16.38526283,-71.51669869,19
281082,2018-06-02 21:25:12,2018-06-02,-16.38521310,-71.51653175,1
281099,2018-06-02 21:48:58,2018-06-02,-16.38542627,-71.51668640,9
281058,2018-06-02 20:39:30,2018-06-02,-16.40152438,-71.52059077,0
281026,2018-06-02 17:19:00,2018-06-02,-16.40392345,-71.52714673,2
281107,2018-06-02 21:50:26,2018-06-02,-16.38533281,-71.51657695,17
281010,2018-06-02 16:46:19,2018-06-02,-16.38575057,-71.51654429,1
281118,2018-06-02 22:27:15,2018-06-02,-16.38547794,-71.51631619,5
281019,2018-06-02 17:14:24,2018-06-02,-16.40404430,-71.52737008,3
281090,2018-06-02 21:46:09,2018-06-02,-16.38535015,-71.51660531,19
281018,2018-06-02 17:14:12,2018-06-02,-16.40401233,-71.52731002,1
281081,2018-06-02 21:00:26,2018-06-02,-16.38529297,-71.51662896,23
281127,2018-06-02 23:24:50,2018-06-02,-16.38527997,-71.51660672,11
278749,2018-06-02 21:46:41,2018-06-02,-16.38531636,-71.51660570,19
281106,2018-06-02 21:50:14,2018-06-02,-16.38534125,-71.51657733,18
278344,2018-06-02 16:16:15,2018-06-02,-16.38528795,-71.51666431,29
281027,2018-06-02 17:19:17,2018-06-02,-16.40408546,-71.52736107,4
281071,2018-06-02 20:57:00,2018-06-02,-16.38550698,-71.51652757,1
281128,2018-06-02 23:25:07,2018-06-02,-16.38527667,-71.51650022,1
281124,2018-06-02 23:24:23,2018-06-02,-16.38525053,-71.51669826,16
281017,2018-06-02 17:14:06,2018-06-02,-16.40394546,-71.52727007,0
281028,2018-06-02 17:19:22,2018-06-02,-16.40410752,-71.52740028,1
278732,2018-06-02 21:46:35,2018-06-02,-16.38531302,-71.51661010,20
281093,2018-06-02 21:47:22,2018-06-02,-16.38534065,-71.51659442,18
281009,2018-06-02 16:40:35,2018-06-02,-16.38526570,-71.51654380,3
281068,2018-06-02 20:55:52,2018-06-02,-16.38557683,-71.51658470,0
281111,2018-06-02 21:51:11,2018-06-02,-16.38532130,-71.51657555,14
281112,2018-06-02 22:22:01,2018-06-02,-16.38504327,-71.51642825,0
281013,2018-06-02 16:54:12,2018-06-02,-16.38800402,-71.51790333,0
281132,2018-06-02 23:28:36,2018-06-02,-16.38526361,-71.51667751,26
281015,2018-06-02 16:56:30,2018-06-02,-16.38725478,-71.51995607,0
281037,2018-06-02 17:28:06,2018-06-02,-16.40610528,-71.52567353,3
281115,2018-06-02 22:22:32,2018-06-02,-16.38526127,-71.51668888,21
281055,2018-06-02 20:36:50,2018-06-02,-16.40433674,-71.52723598,0
281113,2018-06-02 22:22:14,2018-06-02,-16.38525956,-71.51668666,21
281032,2018-06-02 17:27:09,2018-06-02,-16.40598640,-71.52578916,1
281066,2018-06-02 20:55:30,2018-06-02,-16.38578061,-71.51672712,0
281094,2018-06-02 21:47:31,2018-06-02,-16.38536154,-71.51661127,8
281123,2018-06-02 22:30:01,2018-06-02,-16.38546552,-71.51632950,5
281046,2018-06-02 17:56:50,2018-06-02,-16.40623741,-71.52614718,9
281061,2018-06-02 20:40:42,2018-06-02,-16.40314711,-71.52044633,0
281114,2018-06-02 22:22:28,2018-06-02,-16.38526118,-71.51669026,21
281038,2018-06-02 17:28:10,2018-06-02,-16.40610379,-71.52568209,4
281120,2018-06-02 22:27:50,2018-06-02,-16.38547428,-71.51632663,5
281049,2018-06-02 17:57:30,2018-06-02,-16.40623781,-71.52615851,9
281001,2018-06-02 16:13:25,2018-06-02,-16.38530572,-71.51666538,19
280994,2018-06-02 16:11:16,2018-06-02,-16.38523360,-71.51665769,12
281054,2018-06-02 20:36:42,2018-06-02,-16.40452206,-71.52709882,1
281091,2018-06-02 21:46:10,2018-06-02,-16.38534495,-71.51660743,17
281085,2018-06-02 21:45:05,2018-06-02,-16.38533460,-71.51671096,3
281065,2018-06-02 20:53:40,2018-06-02,-16.38637288,-71.51865509,0
281075,2018-06-02 20:59:14,2018-06-02,-16.38525667,-71.51666851,21
281096,2018-06-02 21:47:58,2018-06-02,-16.38542044,-71.51668715,9
281109,2018-06-02 21:50:42,2018-06-02,-16.38532715,-71.51657801,15
281053,2018-06-02 20:36:30,2018-06-02,-16.40455386,-71.52706897,2
281059,2018-06-02 20:40:00,2018-06-02,-16.40261421,-71.52065281,0
281103,2018-06-02 21:49:46,2018-06-02,-16.38540647,-71.51664826,9
281095,2018-06-02 21:47:41,2018-06-02,-16.38539766,-71.51667049,11
281072,2018-06-02 20:58:49,2018-06-02,-16.38531556,-71.51659740,19
281030,2018-06-02 17:26:41,2018-06-02,-16.40574551,-71.52600197,0
281131,2018-06-02 23:28:22,2018-06-02,-16.38530963,-71.51663281,22
281125,2018-06-02 23:24:30,2018-06-02,-16.38527635,-71.51670746,17
281008,2018-06-02 16:35:25,2018-06-02,-16.38528784,-71.51663406,25
281012,2018-06-02 16:51:40,2018-06-02,-16.38732421,-71.51569052,0
281117,2018-06-02 22:26:00,2018-06-02,-16.38470424,-71.51721148,0
281000,2018-06-02 16:13:05,2018-06-02,-16.38530572,-71.51666538,19
281003,2018-06-02 16:32:18,2018-06-02,-16.38529043,-71.51666462,29
280998,2018-06-02 16:12:25,2018-06-02,-16.38530572,-71.51666538,19
281108,2018-06-02 21:50:38,2018-06-02,-16.38532920,-71.51657690,16
280995,2018-06-02 16:11:24,2018-06-02,-16.38523360,-71.51665769,12
281087,2018-06-02 21:45:35,2018-06-02,-16.38539272,-71.51664553,8
281021,2018-06-02 17:14:41,2018-06-02,-16.40404469,-71.52731810,2
281086,2018-06-02 21:45:10,2018-06-02,-16.38539952,-71.51666081,10
281088,2018-06-02 21:45:41,2018-06-02,-16.38538464,-71.51663177,10
281031,2018-06-02 17:26:52,2018-06-02,-16.40585700,-71.52590262,0
281102,2018-06-02 21:49:22,2018-06-02,-16.38541290,-71.51665348,11
281006,2018-06-02 16:34:37,2018-06-02,-16.38537841,-71.51672036,2
281119,2018-06-02 22:27:31,2018-06-02,-16.38547799,-71.51631946,5
281016,2018-06-02 17:05:58,2018-06-02,-16.39941992,-71.52823670,0
281002,2018-06-02 16:29:34,2018-06-02,-16.38528649,-71.51666410,29
281042,2018-06-02 17:55:24,2018-06-02,-16.40606668,-71.52626863,0
281116,2018-06-02 22:22:44,2018-06-02,-16.38523492,-71.51671400,7
281039,2018-06-02 17:29:45,2018-06-02,-16.40615706,-71.52576037,1
278619,2018-06-02 17:57:10,2018-06-02,-16.40626099,-71.52613967,9
280999,2018-06-02 16:12:45,2018-06-02,-16.38530572,-71.51666538,19
281023,2018-06-02 17:15:51,2018-06-02,-16.40398799,-71.52721318,0
281050,2018-06-02 17:57:41,2018-06-02,-16.40623740,-71.52615795,9
281121,2018-06-02 22:29:42,2018-06-02,-16.38547102,-71.51631961,5
281056,2018-06-02 20:37:02,2018-06-02,-16.40393062,-71.52676365,0
281130,2018-06-02 23:28:10,2018-06-02,-16.38532131,-71.51660434,20
281014,2018-06-02 16:54:20,2018-06-02,-16.38821691,-71.51808774,0
281057,2018-06-02 20:39:18,2018-06-02,-16.40112455,-71.52135501,0
281076,2018-06-02 20:59:25,2018-06-02,-16.38526306,-71.51666522,28
281044,2018-06-02 17:56:30,2018-06-02,-16.40623374,-71.52614267,9
281024,2018-06-02 17:16:06,2018-06-02,-16.40405437,-71.52733401,4
281045,2018-06-02 17:56:42,2018-06-02,-16.40623589,-71.52614916,9
281052,2018-06-02 20:36:27,2018-06-02,-16.40457912,-71.52705723,1
281025,2018-06-02 17:18:51,2018-06-02,-16.40390845,-71.52711303,2
281041,2018-06-02 17:30:01,2018-06-02,-16.40612800,-71.52585716,0
281011,2018-06-02 16:46:20,2018-06-02,-16.38576169,-71.51655776,1
281043,2018-06-02 17:56:24,2018-06-02,-16.40624464,-71.52612227,9
281092,2018-06-02 21:46:21,2018-06-02,-16.38531293,-71.51661148,20
281060,2018-06-02 20:40:18,2018-06-02,-16.40285459,-71.52083864,0
281084,2018-06-02 21:44:46,2018-06-02,-16.38525133,-71.51677347,0
281101,2018-06-02 21:49:10,2018-06-02,-16.38541500,-71.51665431,11
281126,2018-06-02 23:24:46,2018-06-02,-16.38531879,-71.51668069,12
281073,2018-06-02 20:58:56,2018-06-02,-16.38531097,-71.51662579,24
280996,2018-06-02 16:11:40,2018-06-02,-16.38530572,-71.51666538,19
281063,2018-06-02 20:50:56,2018-06-02,-16.39165085,-71.52379797,0
281078,2018-06-02 20:59:54,2018-06-02,-16.38526611,-71.51666045,28
281067,2018-06-02 20:55:40,2018-06-02,-16.38567807,-71.51664957,0
280997,2018-06-02 16:12:05,2018-06-02,-16.38530572,-71.51666538,19
281048,2018-06-02 17:57:21,2018-06-02,-16.40626762,-71.52613362,9
281069,2018-06-02 20:56:00,2018-06-02,-16.38550121,-71.51654297,1
281080,2018-06-02 21:00:16,2018-06-02,-16.38527538,-71.51662907,18
281110,2018-06-02 21:50:51,2018-06-02,-16.38531979,-71.51657683,14
281004,2018-06-02 16:32:43,2018-06-02,-16.38528882,-71.51666577,29
281122,2018-06-02 22:29:54,2018-06-02,-16.38546782,-71.51632388,5
281074,2018-06-02 20:59:03,2018-06-02,-16.38525998,-71.51667134,21
281079,2018-06-02 21:00:03,2018-06-02,-16.38526714,-71.51666032,28
281129,2018-06-02 23:28:03,2018-06-02,-16.38529927,-71.51656690,13
281083,2018-06-02 21:25:24,2018-06-02,-16.38522062,-71.51654417,2
281007,2018-06-02 16:34:43,2018-06-02,-16.38537723,-71.51671983,2
281036,2018-06-02 17:27:42,2018-06-02,-16.40607902,-71.52569014,4
281070,2018-06-02 20:56:35,2018-06-02,-16.38541337,-71.51654598,0
281100,2018-06-02 21:49:02,2018-06-02,-16.38541859,-71.51665687,11
281105,2018-06-02 21:50:02,2018-06-02,-16.38536979,-71.51656456,8
281040,2018-06-02 17:29:50,2018-06-02,-16.40616279,-71.52576290,1
281064,2018-06-02 20:51:04,2018-06-02,-16.39127675,-71.52347452,0
281034,2018-06-02 17:27:24,2018-06-02,-16.40609434,-71.52570901,4
281035,2018-06-02 17:27:30,2018-06-02,-16.40607232,-71.52570790,3
